country,population,netMigration,population_in_millions
Sint Maarten (Dutch part),23147.71875,24880,0.0
Slovenia,1920626.84375,190450,1.296875
Solomon Islands,368897.03125,-64349,0.0
Somalia,8157175.859375,-789350,7.671875
South Africa,38946341.28125,2992552,38.421875
South Sudan,6129511.171875,-470280,5.625
Spain,39757145.890625,7158047,39.21875
Sri Lanka,16900806.421875,-3077939,16.421875
Sudan,23609783.3125,-2816778,23.125
Suriname,446797.703125,-166862,0.0
Sweden,8753814.609375,2034611,8.25
Switzerland,6976948.0,2054303,6.5
Syrian Arab Republic,13340827.109375,-2735622,12.859375
Tajikistan,5574216.140625,-1181480,5.078125
Thailand,53764861.25,4674849,53.171875
Timor-Leste,825543.28125,-114003,0.265625
Togo,4448328.703125,-116671,3.953125
Tonga,96903.859375,-108458,0.0
Trinidad and Tobago,1233667.421875,-355770,0.828125
Tunisia,8360605.890625,-1076382,7.875
Turkmenistan,3884286.265625,-224564,3.390625
Turks and Caicos Islands,17790.875,26436,0.0
Tuvalu,8608.25,-2896,0.0
Uganda,21743424.078125,-3286008,21.28125
Ukraine,47622069.078125,-4508153,47.125
United Arab Emirates,3434973.734375,6583164,2.96875
United Kingdom,58899425.4375,5758559,58.453125
United States,258734856.40625,67104784,258.21875
Uruguay,3097935.875,-537549,2.625
Uzbekistan,21161665.375,-643038,20.65625
Vanuatu,170927.0,-29711,0.0
Viet Nam,67046998.546875,-2144265,66.546875
Zambia,9235383.0,-552949,8.734375
Zimbabwe,9776680.109375,-2866481,9.265625
